人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
000082,"岡本 綺堂",043546,"水鬼",新字新仮名,"","網迫、土屋隆","小林繁雄、門田裕志",公開,2005-08-21,"異妖の怪談集　岡本綺堂伝奇小説集　其ノ二","原書房","1999（平成11）年7月2日第1刷","1999（平成11）年7月2日第1刷"
000082,"岡本 綺堂",048024,"青蛙神",新字新仮名,"","川山隆","門田裕志",公開,2009-01-15,"伝奇ノ匣2　岡本綺堂妖術伝奇集","学研Ｍ文庫、学習研究社","2002（平成14）年3月29日初版","2002（平成14）年3月29日初版"
000082,"岡本 綺堂",001307,"青蛙堂鬼談",新字新仮名,"","和井府清十郎","原田頌子",公開,2002-03-25,"影を踏まれた女　岡本綺堂怪談集","光文社時代小説文庫、光文社","1988（昭和63）年10月20日初版1刷","2001（平成13）年9月5日初版3刷"
000082,"岡本 綺堂",004090,"世界怪談名作集 01 序／目次",新字新仮名,"","もりみつじゅんじ","門田裕志",公開,2003-12-13,"世界怪談名作集　上","河出文庫、河出書房新社","1987（昭和62）年8月4日初版",""
000082,"岡本 綺堂",042306,"世界怪談名作集 02 貸家",新字新仮名,"岡本 綺堂","小林繁雄、門田裕志","大久保ゆう",公開,2004-10-24,"世界怪談名作集　上","河出文庫、河出書房新社","2002（平成14）年6月20日新装版初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",042305,"世界怪談名作集 03 スペードの女王",新字新仮名,"岡本 綺堂","小林繁雄、門田裕志","大久保ゆう",公開,2004-10-25,"世界怪談名作集　上","河出書房新社","2002（平成14）年6月20日新装版初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",004091,"世界怪談名作集 04 妖物",新字新仮名,"岡本 綺堂","もりみつじゅんじ","門田裕志",公開,2003-12-13,"世界怪談名作集　上","河出文庫、河出書房新社","1987（昭和62）年8月4日初版",""
000082,"岡本 綺堂",042303,"世界怪談名作集 05 クラリモンド",新字新仮名,"岡本 綺堂","小林繁雄、門田裕志","大久保ゆう",公開,2004-10-26,"世界怪談名作集　上","河出書房新社","2002（平成14）年6月20日新装版初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",042302,"世界怪談名作集 06 信号手",新字新仮名,"岡本 綺堂","小林繁雄、門田裕志","大久保ゆう",公開,2004-10-27,"世界怪談名作集　上","河出書房新社","2002（平成14）年6月20日新装版初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",042304,"世界怪談名作集 07 ヴィール夫人の亡霊",新字新仮名,"岡本 綺堂","小林繁雄、門田裕志","大久保ゆう",公開,2004-10-28,"世界怪談名作集　上","河出書房新社","2002（平成14）年6月20日新装版初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",004105,"世界怪談名作集 08 ラッパチーニの娘　アウペパンの作から",新字新仮名,"岡本 綺堂","和井府清十郎","もりみつじゅんじ",公開,2001-10-08,"世界怪談名作集　上","河出文庫、河出書房新社","1987（昭和62）年8月4日初版",""
000082,"岡本 綺堂",043471,"世界怪談名作集 09 北極星号の船長　医学生ジョン・マリスターレーの奇異なる日記よりの抜萃",新字新仮名,"岡本 綺堂","小林繁雄、門田裕志","大久保ゆう",公開,2004-10-29,"世界怪談名作集　下","河出文庫、河出書房新社","2002（平成14）年6月20日新装版初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",004998,"世界怪談名作集 10 廃宅",新字新仮名,"岡本 綺堂","門田裕志","hongming",公開,2003-12-14,"世界怪談名作集　下","河出文庫、河出書房新社","2002（平成14）年6月20日新装版初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",043470,"世界怪談名作集 11 聖餐祭",新字新仮名,"岡本 綺堂","小林繁雄、門田裕志","大久保ゆう",公開,2004-10-30,"世界怪談名作集　下","河出文庫、河出書房新社","2002（平成14）年6月20日新装版初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",043469,"世界怪談名作集 12 幻の人力車",新字新仮名,"岡本 綺堂","小林繁雄、門田裕志","大久保ゆう",公開,2004-10-31,"世界怪談名作集　下","河出文庫、河出書房新社","2002（平成14）年6月20日新装版初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",043472,"世界怪談名作集 13 上床",新字新仮名,"岡本 綺堂","小林繁雄、門田裕志","大久保ゆう",公開,2004-11-01,"世界怪談名作集　下","河出文庫、河出書房新社","2002（平成14）年6月20日新装版初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",004407,"世界怪談名作集 14 ラザルス",新字新仮名,"岡本 綺堂","和井府清十郎","もりみつじゅんじ、土屋隆",公開,2008-11-24,"澁澤龍彦文学館　12　最後の箱","筑摩書房","1991（平成3）年10月25日初版第1刷",""
000082,"岡本 綺堂",004092,"世界怪談名作集 15 幽霊",新字新仮名,"岡本 綺堂","もりみつじゅんじ","多羅尾伴内",公開,2003-12-28,"世界怪談名作集　下","河出文庫、河出書房新社","1987（昭和62）年9月4日初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",043468,"世界怪談名作集 16 鏡中の美女",新字新仮名,"岡本 綺堂","小林繁雄、門田裕志","大久保ゆう",公開,2004-11-02,"世界怪談名作集　下","河出文庫、河出書房新社","2002（平成14）年6月20日新装版初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",043473,"世界怪談名作集 17 幽霊の移転",新字新仮名,"岡本 綺堂","小林繁雄、門田裕志","大久保ゆう",公開,2004-11-03,"世界怪談名作集　下","河出文庫、河出書房新社","2002（平成14）年6月20日新装版初版","2002（平成14）年6月20日新装版初版"
000082,"岡本 綺堂",004999,"世界怪談名作集 18 牡丹灯記",新字新仮名,"岡本 綺堂","門田裕志","小林繁雄",公開,2003-10-05,"世界怪談名作集　下","河出文庫、河出書房新社","2002（平成14）年6月20日新装版初版"," "
000082,"岡本 綺堂",000480,"玉藻の前",新字新仮名,"","tatsuki","小林繁雄",公開,2000-03-30,"修禅寺物語","光文社文庫、光文社","1992（平成4）年3月20日初版1刷",""
000082,"岡本 綺堂",033197,"探偵夜話",新字新仮名,"","和井府清十郎","門田裕志",公開,2012-08-17,"岡本綺堂読物選集　6　探偵編","青蛙房","1969（昭和44）年10月10日","1969（昭和44）年10月10日"
000082,"岡本 綺堂",043106,"近松半二の死",旧字旧仮名,"","土屋隆","小林繁雄",公開,2006-08-09,"日本現代文學全集34　岡本綺堂・小山内薫・眞山青果集","講談社","1968（昭和43）年6月19日","1968（昭和43）年6月19日"
000082,"岡本 綺堂",048023,"父の怪談",新字新仮名,"","川山隆","noriko saito",公開,2008-05-28,"文藝別冊［総特集］岡本綺堂","河出書房新社","2004（平成16）年1月30日","2004（平成16）年1月30日"
000082,"岡本 綺堂",049542,"父の墓",新字新仮名,"","川山隆","noriko saito",公開,2008-12-26,"岡本綺堂随筆集","岩波文庫、岩波書店","2008（平成20）年5月23日第4刷","2008（平成20）年5月23日第4刷"
000082,"岡本 綺堂",033217,"中国怪奇小説集 01 凡例",新字新仮名,"","tatsuki、門田裕志","もりみつじゅんじ、小林繁雄",公開,2003-09-15,"中国怪奇小説集","光文社文庫、光文社","1999（平成11）年11月5日3刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",033218,"中国怪奇小説集 02 開会の辞",新字新仮名,"","tatsuki、門田裕志","もりみつじゅんじ、小林繁雄",公開,2003-09-15,"中国怪奇小説集","光文社文庫、光文社","1999（平成11）年11月5日3刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",001298,"中国怪奇小説集 03 捜神記（六朝）",新字新仮名,"","tatsuki","もりみつじゅんじ",公開,2003-09-15,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷",""
000082,"岡本 綺堂",002235,"中国怪奇小説集 04 捜神後記（六朝）",新字新仮名,"","tatsuki","もりみつじゅんじ",公開,2003-09-18,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷",""
000082,"岡本 綺堂",001299,"中国怪奇小説集 05 酉陽雑爼（唐）",新字新仮名,"","tatsuki","小林繁雄",公開,2003-09-18,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",001300,"中国怪奇小説集 06 宣室志（唐）",新字新仮名,"","tatsuki","小林繁雄",公開,2003-09-18,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",001301,"中国怪奇小説集 07 白猿伝・其他（唐）",新字新仮名,"","tatsuki","小林繁雄",公開,2003-09-21,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",001302,"中国怪奇小説集 08 録異記（五代）",新字新仮名,"","tatsuki","小林繁雄",公開,2003-09-21,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",002236,"中国怪奇小説集 09 稽神録（宋）",新字新仮名,"","tatsuki","小林繁雄",公開,2003-09-21,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",002237,"中国怪奇小説集 10 夷堅志（宋）",新字新仮名,"","tatsuki","kazuishi",公開,2003-09-24,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷",""
000082,"岡本 綺堂",002238,"中国怪奇小説集 11 異聞総録・其他（宋）",新字新仮名,"","tatsuki","小林繁雄",公開,2003-09-24,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",002239,"中国怪奇小説集 12 続夷堅志・其他（金・元）",新字新仮名,"","tatsuki","小林繁雄",公開,2003-09-24,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",002240,"中国怪奇小説集 13 輟耕録（明）",新字新仮名,"","tatsuki","小林繁雄",公開,2003-09-27,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",002241,"中国怪奇小説集 14 剪灯新話（明）",新字新仮名,"","tatsuki","小林繁雄",公開,2003-09-27,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",002242,"中国怪奇小説集 15 池北偶談（清）",新字新仮名,"","tatsuki","小林繁雄",公開,2003-09-27,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",002243,"中国怪奇小説集 16 子不語（清）",新字新仮名,"","tatsuki","小林繁雄",公開,2003-09-30,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷","1999（平成11）年11月5日3刷"
000082,"岡本 綺堂",001303,"中国怪奇小説集 17 閲微草堂筆記（清）",新字新仮名,"","tatsuki","九尾乃雪舟斎",公開,2003-09-30,"中国怪奇小説集","光文社文庫、光文社","1994（平成6）年4月20日初版1刷",""
000082,"岡本 綺堂",045488,"月の夜がたり",新字新仮名,"","小林繁雄、門田裕志","hongming",公開,2006-02-14,"影を踏まれた女","光文社文庫、光文社","2001（平成13）年9月5日3刷","2001（平成13）年9月5日3刷"
000082,"岡本 綺堂",045544,"停車場の少女",新字新仮名,"","網迫、土屋隆","小林繁雄、門田裕志",公開,2005-10-17,"異妖の怪談集　岡本綺堂伝奇小説集　其ノ二","原書房","1999（平成11）年7月2日第1刷","1999（平成11）年7月2日第1刷"
000082,"岡本 綺堂",002591,"停車場の少女 ——「近代異妖編」",新字旧仮名,"","林田清明","小林繁雄、門田裕志",公開,2005-07-02,"日本幻想文学集成23　岡本綺堂","国書刊行会","1993（平成5）年9月20日初版第1刷","1993（平成5）年9月20日初版第1刷"
000082,"岡本 綺堂",049541,"当今の劇壇をこのままに",新字新仮名,"","川山隆","noriko saito",公開,2008-12-18,"岡本綺堂随筆集","岩波文庫、岩波書店","2008（平成20）年5月23日第4刷","2008（平成20）年5月23日第4刷"
000082,"岡本 綺堂",049540,"読書雑感",新字新仮名,"","川山隆","noriko saito",公開,2008-12-18,"岡本綺堂随筆集","岩波文庫、岩波書店","2008（平成20）年5月23日第4刷","2008（平成20）年5月23日第4刷"
000082,"岡本 綺堂",045489,"虎",新字新仮名,"","小林繁雄、門田裕志","松永正敏",公開,2006-07-04,"鎧櫃の血","光文社文庫、光文社","1988（昭和63）年5月30日2刷","1988（昭和63）年5月20日初版1刷"
000082,"岡本 綺堂",000481,"鳥辺山心中",新字新仮名,"","tatsuki","かとうかおり",公開,2000-06-14,"江戸情話集","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",049538,"二階から",新字新仮名,"","川山隆","noriko saito",公開,2008-12-29,"岡本綺堂随筆集","岩波文庫、岩波書店","2008（平成20）年5月23日第4刷","2008（平成20）年5月23日第4刷"
000082,"岡本 綺堂",045508,"廿九日の牡丹餅",新字新仮名,"","小林繁雄、門田裕志","花田泰治郎",公開,2006-07-02,"蜘蛛の夢","光文社文庫、光文社","1990（平成2）年4月20日初版1刷","1990（平成2）年4月20日初版1刷"
000082,"岡本 綺堂",045490,"鼠",新字新仮名,"","小林繁雄、門田裕志","松永正敏",公開,2006-07-04,"鎧櫃の血","光文社文庫、光文社","1988（昭和63）年5月30日2刷","1988（昭和63）年5月20日初版1刷"
000082,"岡本 綺堂",049537,"年賀郵便",新字新仮名,"","川山隆","noriko saito",公開,2009-01-10,"岡本綺堂随筆集","岩波文庫、岩波書店","2008（平成20）年5月23日第4刷","2008（平成20）年5月23日第4刷"
000082,"岡本 綺堂",049536,"能因法師",旧字旧仮名,"","川山隆","noriko saito",公開,2010-07-05,"修禅寺物語　正雪の二代目　他四篇","岩波文庫、岩波書店","2008（平成20）年2月21日第7刷","2008（平成20）年2月21日第7刷"
000082,"岡本 綺堂",049535,"俳諧師",旧字旧仮名,"","川山隆","noriko saito",公開,2010-07-05,"修禅寺物語　正雪の二代目　他四篇","岩波文庫、岩波書店","2008（平成20）年2月21日第7刷","2008（平成20）年2月21日第7刷"
000082,"岡本 綺堂",043576,"白髪鬼",新字新仮名,"","網迫、土屋隆","小林繁雄、門田裕志",公開,2005-08-13,"異妖の怪談集　岡本綺堂伝奇小説集　其ノ二","原書房","1999（平成11）年7月2日第1刷","1999（平成11）年7月2日第1刷"
000082,"岡本 綺堂",045509,"放し鰻",新字新仮名,"","小林繁雄、門田裕志","花田泰治郎",公開,2006-06-23,"蜘蛛の夢","光文社文庫、光文社","1990（平成2）年4月20日初版1刷","1990（平成2）年4月20日初版1刷"
000082,"岡本 綺堂",049534,"はなしの話",新字新仮名,"","川山隆","noriko saito",公開,2008-12-26,"岡本綺堂随筆集","岩波文庫、岩波書店","2008（平成20）年5月23日第4刷","2008（平成20）年5月23日第4刷"
000082,"岡本 綺堂",045510,"馬妖記",新字新仮名,"","小林繁雄、門田裕志","花田泰治郎",公開,2006-06-28,"蜘蛛の夢","光文社文庫、光文社","1990（平成2）年4月20日初版1刷","1990（平成2）年4月20日初版1刷"
000082,"岡本 綺堂",049533,"春の修善寺",新字新仮名,"","川山隆","noriko saito",公開,2008-12-29,"岡本綺堂随筆集","岩波文庫、岩波書店","2008（平成20）年5月23日第4刷","2008（平成20）年5月23日第4刷"
000082,"岡本 綺堂",001293,"半七捕物帳 01 お文の魂",新字新仮名,"","A.Morimine","原田頌子",公開,2001-04-13,"時代推理小説　半七捕物帳（一）","光文社文庫、光文社","1997（平成9）年3月25日20刷",""
000082,"岡本 綺堂",001005,"半七捕物帳 01 お文の魂",旧字旧仮名,"","小山純一","浜野智",公開,1998-07-09,"定本・半七捕物帳　第1巻","同光社","",""
000082,"岡本 綺堂",004641,"半七捕物帳 02 石灯籠",新字新仮名,"","砂場清隆","大野晋",公開,2002-05-23,"時代推理小説　半七捕物帳（一）","光文社文庫、光文社","1997（平成9）年3月25日20刷",""
000082,"岡本 綺堂",000983,"半七捕物帳 03 勘平の死",新字新仮名,"","tatsuki","湯地光弘",公開,1999-05-10,"時代推理小説　半七捕物帳（一）","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",001295,"半七捕物帳 04 湯屋の二階",新字新仮名,"","tatsuki","小林繁雄",公開,2002-05-23,"時代推理小説　半七捕物帳（一）","光文社文庫、光文社","",""
000082,"岡本 綺堂",001003,"半七捕物帳 05 お化け師匠",新字新仮名,"","tatsuki","湯地光弘",公開,1999-05-25,"時代推理小説　半七捕物帳（一）","光文社時代小説文庫、光文社","","1986（昭和61）年12月1日第5刷"
000082,"岡本 綺堂",000965,"半七捕物帳 06 半鐘の怪",新字新仮名,"","tatsuki","菅野朋子",公開,1999-06-01,"時代推理小説　半七捕物帳（一）","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",001009,"半七捕物帳 07 奥女中",新字新仮名,"","tatsuki","湯地光弘",公開,1999-06-04,"時代推理小説　半七捕物帳（一）","光文社時代小説文庫、光文社","","1986（昭和61）年12月1日第5刷"
000082,"岡本 綺堂",001004,"半七捕物帳 08 帯取りの池",新字新仮名,"","tatsuki","菅野朋子",公開,1999-06-11,"時代推理小説　半七捕物帳（一）","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",000966,"半七捕物帳 09 春の雪解",新字新仮名,"","tatsuki","おのしげひこ",公開,1999-06-27,"「時代推理小説　半七捕物帳（一）」","光文社時代小説文庫、光文社","","1986（昭和61）年12月1日第5刷"
000082,"岡本 綺堂",000970,"半七捕物帳 10 広重と河獺",新字新仮名,"","tatsuki","菅野朋子",公開,1999-06-21,"時代推理小説　半七捕物帳（一）","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",000959,"半七捕物帳 11 朝顔屋敷",新字新仮名,"","tatsuki","曽我部真弓",公開,1999-08-28,"時代推理小説　半七捕物帳（一）","光文社時代小説文庫、光文社","","1986（昭和61）年12月1日第5刷"
000082,"岡本 綺堂",001001,"半七捕物帳 12 猫騒動",新字新仮名,"","tatsuki","山本奈津恵",公開,1999-07-24,"時代推理小説　半七捕物帳（一）","光文社時代小説文庫、光文社","","1986（昭和61）年12月1日第5刷"
000082,"岡本 綺堂",000961,"半七捕物帳 13 弁天娘",新字新仮名,"","tatsuki","菅野朋子",公開,1999-07-14,"時代推理小説　半七捕物帳（一）","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",001023,"半七捕物帳 14 山祝いの夜",新字新仮名,"","tatsuki","ごまごま",公開,1999-07-02,"時代推理小説　半七捕物帳（一）","光文社時代小説文庫、光文社","","1986（昭和61）年12月1日第5刷"
000082,"岡本 綺堂",001018,"半七捕物帳 15 鷹のゆくえ",新字新仮名,"","tatsuki","おのしげひこ",公開,1999-07-19,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","","1997（平成9）年3月20日第11刷"
000082,"岡本 綺堂",001020,"半七捕物帳 16 津の国屋",新字新仮名,"","tatsuki","ごまごま",公開,1999-08-02,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","","1997（平成9）年3月20日第11刷"
000082,"岡本 綺堂",000997,"半七捕物帳 17 三河万歳",新字新仮名,"","tatsuki","おのしげひこ",公開,1999-09-11,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","","1997（平成9）年3月20日第11刷"
000082,"岡本 綺堂",001024,"半七捕物帳 18 槍突き",新字新仮名,"","tatsuki","菅野朋子",公開,1999-07-27,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",001014,"半七捕物帳 19 お照の父",新字新仮名,"","tatsuki","山本奈津恵",公開,1999-08-17,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","","1997（平成9）年3月20日第11刷"
000082,"岡本 綺堂",000999,"半七捕物帳 20 向島の寮",新字新仮名,"","tatsuki","菅野朋子",公開,1999-08-03,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",001021,"半七捕物帳 21 蝶合戦",新字新仮名,"","tatsuki","ごまごま",公開,1999-08-29,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","","1997（平成9）年3月20日第11刷"
000082,"岡本 綺堂",000976,"半七捕物帳 22 筆屋の娘",新字新仮名,"","tatsuki","ごまごま",公開,1999-08-29,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","","1997（平成9）年3月20日第11刷"
000082,"岡本 綺堂",001010,"半七捕物帳 23 鬼娘",新字新仮名,"","tatsuki","曽我部真弓",公開,1999-09-17,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","","1997（平成9）年3月20日第11刷"
000082,"岡本 綺堂",000991,"半七捕物帳 24 小女郎狐",新字新仮名,"","tatsuki","菅野朋子",公開,1999-09-25,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",000990,"半七捕物帳 25 狐と僧",新字新仮名,"","tatsuki","山本奈津恵",公開,1999-09-22,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","","1997（平成9）年3月20日第11刷"
000082,"岡本 綺堂",001011,"半七捕物帳 26 女行者",新字新仮名,"","tatsuki","おのしげひこ",公開,1999-09-28,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","","1997（平成9）年3月20日第11刷"
000082,"岡本 綺堂",000960,"半七捕物帳 27 化け銀杏",新字新仮名,"","tatsuki","山本奈津恵",公開,1999-11-06,"時代推理小説　半七捕物帳（二）","光文社時代小説文庫、光文社","","1997（平成9）年3月20日第11刷"
000082,"岡本 綺堂",001026,"半七捕物帳 28 雪達磨",新字新仮名,"","網迫","おのしげひこ",公開,2000-07-06,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",000992,"半七捕物帳 29 熊の死骸",新字新仮名,"","網迫","おのしげひこ",公開,2000-07-06,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","","1997（平成9）年5月15日第11刷"
000082,"岡本 綺堂",001042,"半七捕物帳 30 あま酒売",新字新仮名,"","網迫","おのしげひこ",公開,2000-10-19,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","","1997（平成9）年5月15日第11刷"
000082,"岡本 綺堂",001056,"半七捕物帳 31 張子の虎",新字新仮名,"","網迫","おのしげひこ",公開,2000-10-19,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","1997（平成9）年5月15日第11刷",""
000082,"岡本 綺堂",001112,"半七捕物帳 32 海坊主",新字新仮名,"","網迫","柳沢成雄",公開,2000-09-23,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","","1997（平成9）年5月15日第11刷"
000082,"岡本 綺堂",001105,"半七捕物帳 33 旅絵師",新字新仮名,"","網迫","柳沢成雄",公開,2000-09-23,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","","1997（平成9）年5月15日第11刷"
000082,"岡本 綺堂",001089,"半七捕物帳 34 雷獣と蛇",新字新仮名,"","網迫","藤田禎宏",公開,2000-08-22,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","","1997（平成9）年5月15日第11刷"
000082,"岡本 綺堂",001118,"半七捕物帳 35 半七先生",新字新仮名,"","網迫","藤田禎宏",公開,2000-08-22,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","","1997（平成9）年5月15日第11刷"
000082,"岡本 綺堂",001297,"半七捕物帳 36 冬の金魚",新字新仮名,"","網迫","ごまごま",公開,2000-12-21,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","1997（平成9）年5月15日初版11刷","1997（平成9）年5月15日初版11刷"
000082,"岡本 綺堂",002416,"半七捕物帳 37 松茸",新字新仮名,"","網迫","ごまごま",公開,2000-12-21,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","","1997（平成9）年5月15日第11刷"
000082,"岡本 綺堂",001082,"半七捕物帳 38 人形使い",新字新仮名,"","網迫","藤田禎宏",公開,2000-09-07,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","","1997（平成9）年5月15日第11刷"
000082,"岡本 綺堂",001099,"半七捕物帳 39 少年少女の死",新字新仮名,"","網迫","藤田禎宏",公開,2000-09-07,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","","1997（平成9）年5月15日第11刷"
000082,"岡本 綺堂",001065,"半七捕物帳 40 異人の首",新字新仮名,"","網迫","藤田禎宏",公開,2000-09-05,"時代推理小説　半七捕物帳（三）","光文社時代小説文庫、光文社","","1997（平成9）年5月15日第11刷"
000082,"岡本 綺堂",001062,"半七捕物帳 41 一つ目小僧",新字新仮名,"","網迫","藤田禎宏",公開,2000-09-05,"時代推理小説　半七捕物帳（三）","光文社文庫、光文社","","1997（平成9）年5月15日第11刷"
000082,"岡本 綺堂",000996,"半七捕物帳 42 仮面",新字新仮名,"","tatsuki","小林繁雄",公開,1999-03-25,"時代推理小説　半七捕物帳（四）","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",000482,"半七捕物帳 43 柳原堤の女",新字新仮名,"","tatsuki","しず",公開,1999-12-03,"時代推理小説　半七捕物帳（四）","光文社時代小説文庫、光文社","","1988（昭和63）年3月1日第2刷"
000082,"岡本 綺堂",001000,"半七捕物帳 44 むらさき鯉",新字新仮名,"","tatsuki","おのしげひこ",公開,1999-12-27,"時代推理小説　半七捕物帳（四）","光文社時代小説文庫、光文社","","1988（昭和63）年3月1日第2刷"
000082,"岡本 綺堂",000998,"半七捕物帳 45 三つの声",新字新仮名,"","tatsuki","小林繁雄",公開,1999-03-25,"時代推理小説　半七捕物帳（四）","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",000958,"半七捕物帳 46 十五夜御用心",新字新仮名,"","tatsuki","湯地光弘",公開,1999-12-30,"時代推理小説　半七捕物帳（四）","光文社時代小説文庫、光文社","","1988（昭和63）年3月1日第2刷"
000082,"岡本 綺堂",000988,"半七捕物帳 47 金の蝋燭",新字新仮名,"","tatsuki","しず",公開,1999-12-13,"時代推理小説　半七捕物帳（四）","光文社時代小説文庫、光文社","","1988（昭和63）年3月1日第2刷"
000082,"岡本 綺堂",001028,"半七捕物帳 48 ズウフラ怪談",新字新仮名,"","tatsuki","しず",公開,2000-01-04,"時代推理小説　半七捕物帳（四）","光文社時代小説文庫、光文社","","1988（昭和63）年3月1日第2刷"
000082,"岡本 綺堂",001013,"半七捕物帳 49 大阪屋花鳥",新字新仮名,"","tatsuki","しず",公開,2000-01-17,"時代推理小説　半七捕物帳（四）","光文社時代小説文庫、光文社","","1988（昭和63）年3月1日第2刷"
000082,"岡本 綺堂",001017,"半七捕物帳 50 正雪の絵馬",新字新仮名,"","tatsuki","Ｔｏｍｏｋｏ．Ｉ",公開,2000-03-10,"時代推理小説　半七捕物帳（四）","光文社時代小説文庫、光文社","","1988（昭和63）年3月1日第2刷"
000082,"岡本 綺堂",001012,"半七捕物帳 51 大森の鶏",新字新仮名,"","tatsuki","はやしだかずこ",公開,2000-01-27,"時代推理小説　半七捕物帳（四）","光文社時代小説文庫、光文社","","1997（平成9）年3月25日第9刷"
000082,"岡本 綺堂",000483,"半七捕物帳 52 妖狐伝",新字新仮名,"","tatsuki","菅野朋子",公開,2000-02-09,"時代推理小説　半七捕物帳（四）","光文社時代小説文庫、光文社","",""
000082,"岡本 綺堂",000979,"半七捕物帳 53 新カチカチ山",新字新仮名,"","tatsuki","小林繁雄",公開,1999-04-11,"時代推理小説　半七捕物帳（五）","光文社時代小説文庫、光文社","",""
